01FF6N3NA2J712CAH9X8SRRK8R	A0001	liberal-arts	社会モデリング導入	本講義では課題提出をもって出席の代わりとする。成績は出席と課題の提出状況により判断する。	2	0	0	01FF6J8XFSWM3X28NM0WXZQ8QK	社会 モデリング	closed
01FF6N3NA2J712CAH9XAC2BG5E	A0002	major-subjects	言語システム演習	本講義では出席をランダムな講義回で取る。成績は出席と課題の提出状況により判断する。	2	1	0	01FF6J8XFSCAT6ADYNN5G33QQC	言語 システム	closed
01FF6N3NA2J712CAH9XB3WZX2D	A0003	major-subjects	先進マネジメント化学導入	本講義では出席をランダムな講義回で取る。成績は課題の提出状況により判断する。	3	2	0	01FF6J8XFSRFYE6GGAB4Y3F94P	マネジメント 化学	closed
01FF6N3NA2J712CAH9XF1KHVAC	A0004	liberal-arts	社会システムA	本講義では課題提出をもって出席の代わりとする。成績は課題の提出状況により判断する。	1	3	0	01FF6J8XFSHMQTXPHJ9BHD64FC	社会 システム	closed
01FF6N3NA2J712CAH9XH9ZH2V4	A0005	major-subjects	言語デザイン基礎	本講義では出席をランダムな講義回で取る。成績は課題の提出状況により判断する。	1	4	0	01FF6J8XFS3906KB5YNKHSNQWG	言語 デザイン	closed
01FF6N3NA2J712CAH9XKR2GVV6	A0006	major-subjects	先進生命リテラシー応用	本講義では出席をランダムな講義回で取る。成績は出席と課題の提出状況により判断する。	2	5	0	01FF6J8XFSVX41R59K7JT2TT12	生命 リテラシー	closed
01FF6N3NA2J712CAH9XM75WAN4	A0007	major-subjects	知能化プログラミング力学第二	本講義では出席を毎回取る。成績は出席と課題の提出状況により判断する。	3	0	1	01FF6J8XFSMB96ZKQZK8G516B3	プログラミング 力学	closed
01FF6N3NA2J712CAH9XN1WQXW1	A0008	liberal-arts	言語デザインA	本講義では出席をランダムな講義回で取る。成績は課題の提出状況により判断する。	3	1	1	01FF6J8XFSX748CNN1MTCEY4VT	言語 デザイン	closed
01FF6N3NA2J712CAH9XNDYQ517	A0009	major-subjects	コミュニケーションメカトロニクス概論	本講義では出席をランダムな講義回で取る。成績は課題の提出状況により判断する。	2	2	1	01FF6J8XFS4N2RA3TS2B2SK600	コミュニケーション メカトロニクス	closed
01FF6N3NA2J712CAH9XPV0BJNC	A0010	major-subjects	知能化コンピューティングネットワークA	本講義では出席を毎回取る。成績は出席と課題の提出状況により判断する。	3	3	1	01FF6J8XFTM3BB01XKXYNGBKKM	コンピューティング ネットワーク	closed
